                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4168,                0.79134,                 1.2538,                0.91978,                0.69307,                0.85338,                0.44469,                 1.6716,                0.81198,                 1.5448,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4427,                  0.787,                 1.2666,                0.80971,                0.79208,                0.83994,                0.47145,                   1.62,                  0.838,                 1.5054,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.5146,                  0.787,                 1.2808,                0.89326,                0.72277,                0.84422,                0.45528,                 1.6418,                0.78589,                 1.5295,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4635,                0.78094,                 1.2598,                0.76843,                0.75248,                0.81814,                0.41618,                 1.7472,                0.85467,                 1.5668,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4441,                0.74989,                 1.2571,                0.80007,                0.77228,                0.82177,                0.44733,                 1.6319,                0.83013,                 1.5014,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.4279,                0.79403,                 1.2453,                0.81718,                0.79208,                0.83913,                0.45289,                 1.6196,                0.80686,                 1.5157,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.4483,                0.79146,                 1.2631,                 0.8302,                0.64356,                0.80882,                0.45341,                  1.589,                0.88764,                 1.5404,              0.0006139,              0.0006139,              0.0006139
                     41,                  1.446,                0.77788,                 1.3059,                 0.8357,                0.72277,                0.82203,                 0.4346,                 1.6837,                0.91677,                 1.5492,               0.000604,               0.000604,               0.000604
                     42,                 1.4266,                0.72788,                 1.2445,                0.80756,                0.81019,                0.85208,                0.47301,                 1.6269,                0.77362,                 1.5097,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.3605,                0.75649,                 1.2238,                0.76657,                0.81188,                0.83094,                0.45417,                 1.6729,                0.78501,                 1.5308,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4062,                0.72852,                 1.2614,                0.84237,                0.82014,                0.86807,                0.46771,                 1.6527,                0.73567,                 1.5597,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.3445,                0.72896,                  1.219,                0.86741,                0.77228,                0.84839,                0.44025,                 1.6995,                0.76866,                 1.5652,              0.0005644,              0.0005644,              0.0005644
